,carat,cut,color,clarity,depth,table,x,y,z,cut_group,color_group,clarity_group,price_predicted
842,0.3,Very Good,G,VVS2,61.6,56.0,4.27,4.3,2.64,2,2,2,761.5662054284294
843,0.7,Very Good,D,VS1,61.6,58.0,5.67,5.73,3.51,2,1,3,3013.445740288633
844,1.06,Very Good,I,VS1,58.5,58.3,6.66,6.79,3.94,2,2,3,5871.6485966119335
845,1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01,1,1,4,5480.486046229482
846,0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,1,2,1,468.35742570030743
847,0.3,Very Good,H,VVS1,63.3,59.0,4.28,4.22,2.69,2,2,2,269.2879797330934
848,0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,1,1,4,2711.7813813524226
849,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,1,1,3,787.0021113469084
850,0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,1,1,4,3178.3650154429197
851,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,2,2,4,8167.950780300478
852,1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,2,1,4,5035.771505204271
853,1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,3,2,4,4985.2247255340335
854,0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,2,2,4,2275.208999663504
855,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,1,1,3,1601.4951594383274
856,0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,1,2,2,838.1417633851725
857,2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,1,2,4,13602.231851270853
858,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,2,2,2,1091.5564434886
859,0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,2,2,3,135.13723210341595
860,0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,1,1,3,1750.2572168387014
861,1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,1,1,5,3005.1766099814267
862,2.0,Good,I,VS2,63.6,60.0,8.03,7.95,5.08,2,2,3,14528.774625130183
863,1.0,Good,D,SI1,63.8,53.0,6.35,6.4,4.07,2,1,4,4907.332757149121
864,0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,1,2,3,573.1022316015624
865,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,1,2,3,729.055994274202
866,1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,2,1,4,4669.074668827341
867,0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,2,2,4,513.6807748585779
868,0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,2,2,4,1976.2855958156142
869,0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,2,1,2,4046.6662028735136
870,0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,1,1,4,3440.7413215962442
871,0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,1,2,2,622.2585241864999
872,0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,1,1,3,3264.6038992772046
873,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,2,2,3,4048.2027718026693
874,0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,1,2,3,4312.113442684784
875,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,1,2,3,683.153391839207
876,0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,1,1,2,1654.2076176094051
877,0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,2,1,4,2322.030001860543
878,1.02,Ideal,I,VS2,62.7,56.0,6.37,6.43,4.01,1,2,3,5733.240153847366
879,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,1,2,4,2283.4023638529634
880,0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,1,1,3,1534.8256814708839
881,1.03,Ideal,G,VVS2,61.6,56.0,6.48,6.5,4.0,1,2,2,6840.725870877528
882,0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,2,2,2,5041.420538120334
883,0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,1,1,3,733.6273985754124
884,1.05,Very Good,G,VS2,61.7,55.0,6.5,6.56,4.03,2,2,3,5783.987594930799
885,1.3,Ideal,H,VVS2,61.5,55.0,7.07,7.03,4.34,1,2,2,9984.512686308377
886,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,1,2,2,763.6041890962133
887,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,2,2,2,1621.156029570342
888,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,2,2,4,3893.5087827971074
889,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,1,2,3,17323.898397848166
890,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,1,1,1,823.6113543022657
891,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,2,1,2,825.6173980304629
892,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,1,1,4,9528.270034220424
893,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,1,2,3,1778.9232025087567
894,0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,2,1,4,1656.8680765706922
895,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,1,2,4,13113.723522421918
896,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,2,1,4,912.252599761272
897,2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,1,2,4,16104.840674514013
898,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,1,2,3,4543.621168461335
899,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,1,1,4,816.4074597451945
900,1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,1,1,4,4831.07038042404
901,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,1,2,3,732.2114958104867
902,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,1,2,2,837.542812710124
903,1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,2,2,1,8249.00070857962
904,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,1,2,4,-48.27775385294444
905,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,1,2,2,621.172798840149
906,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,1,1,4,4463.379006344156
907,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,2,2,4,1432.3704410923165
908,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,2,1,4,2307.034015031375
909,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,1,2,3,334.3530449299942
910,0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,2,1,3,1900.68290693963
911,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,1,2,4,2220.4468147794705
912,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,1,2,2,4262.872612896672
913,0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,1,2,3,321.4084706632657
914,0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,1,1,3,1567.4471731563062
915,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,2,1,2,12385.492831986303
916,1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,2,1,4,4963.370557275695
917,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,2,2,2,398.2318279996507
918,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,2,1,3,665.0064749221274
919,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,1,1,3,1382.8976210402398
920,1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,1,2,2,8975.70976054808
921,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,1,1,3,1990.4824880061205
922,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,1,1,3,1835.780108312585
923,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,1,1,3,2188.5848936321054
924,0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,1,2,3,2928.410599472234
925,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,1,1,5,3783.743553037966
926,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,2,1,3,2976.2299043669955
927,0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,1,1,1,3572.7274510967254
928,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,1,2,2,1736.4247855320555
929,1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,2,2,2,6878.275253184662
930,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1,2,2,1161.3742314741994
931,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,1,2,3,439.739307596712
932,1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,1,2,3,10339.013367589032
933,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,1,2,4,6619.4109012357785
934,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,1,2,2,1966.392966413414
935,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,1,1,2,1697.1303484549207
936,0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,1,2,3,725.1524684507713
937,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,2,1,4,3652.975418941487
938,2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,3,1,4,13962.707552114243
939,1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,1,2,3,10103.868458229152
940,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,1,1,4,654.8556843575134
941,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,1,1,4,862.5279583731535
942,0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,2,2,3,4133.838051052277
943,0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,3,1,4,1854.7007570789729
944,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,2,2,4,5019.163591552231
945,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,1,1,4,566.0933562591745
946,0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,2,1,3,3059.1418553564363
947,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,1,1,3,1065.7102184341165
948,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,2,2,4,3425.9360552525322
949,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,1,2,4,3917.2419883196108
950,1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,1,2,3,6343.5632599391465
951,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,1,2,2,2157.2408054017014
952,1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,3,1,3,5807.023604496268
953,2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,1,2,3,15473.064489969429
954,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,2,1,4,297.110546713302
955,1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,2,1,4,4933.532840895428
956,0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,1,2,3,2031.5872784522617
957,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,2,2,4,2470.376328394639
958,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,1,1,4,3949.761903225197
959,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,2,2,4,12959.014985799415
960,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,2,1,4,3672.2102623169867
961,1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,1,2,4,5089.541829628843
962,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,1,1,2,2573.2784613563963
963,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,2,1,2,335.6303577225917
964,0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,2,1,3,1386.3640666275387
965,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,1,1,3,9481.685453135578
966,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,1,1,3,709.8383541552721
967,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,2,2,3,9729.131512352535
968,1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,2,1,4,4843.981833849781
969,1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,1,1,4,6802.732929265549
970,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,1,1,2,2504.633117569145
971,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,1,1,3,874.9902290606733
972,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1,1,3,1831.017430510281
973,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,1,1,3,1768.081082795452
974,2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,1,2,2,19867.18733422376
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,1,1,4,15634.173092602203
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,2,1,4,383.8355326578021
977,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,1,2,2,3708.4133163800634
978,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,2,2,4,4319.519089072062
979,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,1,2,3,15349.043042564394
980,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,1,2,2,12217.150495099859
981,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,1,1,4,592.5379585673218
982,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,1,1,3,1887.1971644370678
983,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,1,2,4,14667.037073505191
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,1,1,4,4524.570899597311
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,1,1,4,6689.040764289195
986,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,1,2,4,318.3657688716921
987,1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,1,2,3,10081.289635046796
988,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,1,1,3,804.8417142799335
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,1,2,4,2616.6404227410294
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,1,2,4,2323.0357625769702
991,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,2,1,3,1909.081863672749
992,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,1,2,2,611.723935815704
993,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,1,2,2,1822.8095946614285
994,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1,2,1,1567.2400857998564
995,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,1,2,2,2327.4658216590014
996,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,1,1,4,468.22910526514534
997,0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,1,1,2,2885.5048431849937
998,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,2,2,4,2831.2150950012074
999,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,1,2,4,4078.1266836670857
1000,1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,2,2,4,4406.035427752577
1001,0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,2,1,4,1183.2593529575242
1002,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,1,2,2,1085.2857608595277
1003,0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,1,2,4,1605.3249343698153
1004,0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,2,2,3,606.1485419445471
1005,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,1,2,4,3315.9869269560586
1006,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,2,2,4,4679.426690127741
1007,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,1,2,4,2419.3075854483577
1008,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,2,1,3,5350.898902765013
1009,1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,1,2,4,4755.320878505772
1010,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,1,1,3,2975.938391422762
1011,1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,2,2,4,4152.586218931472
1012,0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,1,2,4,3828.3330287057597
1013,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,2,2,2,1567.8730769724643
1014,1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,1,2,2,7359.42452600123
1015,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,2,1,4,994.4423028113943
1016,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,2,1,4,1178.088239958308
1017,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,1,1,3,964.035889956107
1018,0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,2,1,2,1742.7793411264283
1019,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,1,2,4,4686.296627492407
1020,0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,1,1,4,1028.231282887129
1021,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,1,1,3,3626.3148568658926
1022,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,1,1,3,1982.3971873887058
1023,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,2,1,4,590.8224953660847
1024,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,2,1,2,5578.914798087135
1025,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,1,2,3,3164.995559895353
1026,0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,1,1,3,1001.0502762443466
1027,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,2,2,4,4084.604137038943
1028,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,1,1,5,4066.823693803628
1029,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,1,1,3,14511.41234346458
1030,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,1,2,2,3459.9371480439386
1031,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,2,1,4,2470.0950622169803
1032,1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,2,2,3,6016.600523143283
1033,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,2,2,3,6944.401763499676
1034,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,1,1,3,767.511446651748
1035,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,1,2,1,1412.0943057066524
1036,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,1,1,3,724.8058763782647
1037,1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,1,2,4,6663.792210051919
1038,1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,2,1,4,4578.218850435143
1039,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,1,2,4,6357.182116543452
1040,2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,1,2,4,15076.356714213498
1041,0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,2,1,4,2456.890371128635
1042,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,3,1,3,6102.060976081328
1043,0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,2,2,3,1294.0702714270737
1044,2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,2,2,4,12633.249860859418
1045,0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,1,1,2,687.7216956232332
1046,1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,1,2,4,4596.880132210661
1047,1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,1,2,1,9417.285999445417
1048,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,2,2,4,3649.96202528946
1049,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,1,1,1,876.39939617872
1050,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,1,2,3,15407.780556322667
1051,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,1,1,3,796.4781471756287
1052,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,2,2,2,857.7292471170076
1053,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,1,2,3,424.2469365614179
1054,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,1,2,1,851.8844026016504
1055,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,1,1,4,835.3708729254577
1056,1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,2,1,4,4812.902207716797
1057,0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,3,2,2,872.9077791737509
1058,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,1,2,3,10157.020715843924
1059,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,2,2,3,3338.47904068712
1060,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,2,2,2,760.6514402286193
1061,1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,2,2,3,5960.0589274268705
1062,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1,2,3,1467.7468685562453
1063,0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,2,2,3,431.45850147484634
1064,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,3,1,3,205.43428924078034
1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,1,2,5,5941.238934899979
1066,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,2,1,4,503.37498961663005
1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,2,1,4,9689.5254302153
1068,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,2,1,3,357.0750018640829
1069,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2,1,4,2043.4994560655905
1070,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,2,1,4,3201.9282992866356
1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,2,2,4,4161.170480373217
1072,1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,1,1,3,7240.385278325824
1073,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,2,1,4,715.2463644784912
1074,1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,3,1,3,6160.1081456106585
1075,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,2,2,4,514.496676840703
1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,2,1,4,5027.072905103954
1077,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,1,2,4,4382.841899813442
1078,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,1,2,2,5370.215086439699
1079,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,2,1,2,542.984399172743
1080,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,2,1,4,2987.7291526779045
1081,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,2,1,4,4990.539976932027
1082,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,1,2,3,5533.411001280911
1083,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,1,1,4,522.1819733387856
1084,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,1,2,3,5516.1549278464845
1085,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,1,2,3,3165.1867789570188
1086,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,2,1,4,435.5232468379436
1087,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,1,2,4,4102.769750103827
1088,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,1,2,3,1818.1463851221324
1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,2,1,4,5200.702091017392
1090,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,2,2,2,4018.6122564733487
1091,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,2,2,4,581.9944812932954
1092,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,1,1,4,15065.557987624888
1093,1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,1,2,2,12561.544418173626
1094,1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,1,2,4,6006.189944312702
1095,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,2,2,3,2669.511612013539
1096,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,2,2,4,347.56784557550054
1097,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,2,1,3,1494.387232810972
1098,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,1,1,4,4947.019048931026
1099,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,2,1,3,6612.120465306009
1100,0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,1,2,1,672.1841379307571
1101,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,1,2,4,5694.89540172472
1102,1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,2,2,4,8191.215628118953
1103,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,2,2,5,2534.790532037684
1104,3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,1,2,5,12842.013776902782
1105,0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,1,1,4,779.1872063364863
1106,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,2,1,4,1382.2220353467565
1107,1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,1,1,4,10063.28164123286
1108,0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,1,2,2,959.4414980077618
1109,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1,1,4,1165.5607990285462
1110,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,1,2,3,1598.702765524573
1111,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,2,1,4,4633.076641478041
1112,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,2,1,5,1179.439731455779
1113,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,1,2,3,717.0434785095658
